,Longitude,Latitude,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,presence
120,-119.425034773,36.5421658377,195.0,128,39,6653.0,376.0,54.0,322.0,111.0,293.0,293.0,110.0,330.0,65.0,0.0,85.0,181.0,0.0,0.0,181.0,1
121,-119.933857221,36.4271297169,189.0,132,41,6150.0,365.0,50.0,315.0,119.0,277.0,277.0,108.0,200.0,39.0,0.0,83.0,111.0,0.0,0.0,106.0,1
122,-120.113849405,36.3642371051,184.0,133,42,5965.0,358.0,46.0,311.0,116.0,262.0,269.0,105.0,194.0,39.0,0.0,84.0,109.0,2.0,2.0,107.0,1
123,-121.091110068,36.1576798089,159.0,117,46,4425.0,298.0,45.0,253.0,98.0,214.0,220.0,98.0,362.0,78.0,0.0,93.0,223.0,2.0,2.0,223.0,1
124,-120.221070547,36.3191386346,180.0,133,43,5817.0,352.0,43.0,308.0,109.0,256.0,263.0,102.0,200.0,42.0,0.0,88.0,117.0,1.0,2.0,117.0,1
125,-119.59656186,36.4448613115,193.0,130,40,6453.0,373.0,53.0,320.0,120.0,287.0,287.0,110.0,247.0,48.0,0.0,85.0,136.0,0.0,0.0,132.0,1
126,-119.71776513,36.4088197026,192.0,131,41,6329.0,370.0,52.0,318.0,120.0,283.0,283.0,110.0,217.0,42.0,0.0,84.0,120.0,0.0,0.0,115.0,1
127,-119.886912132,36.3338347358,189.0,132,41,6169.0,366.0,50.0,316.0,119.0,278.0,278.0,108.0,195.0,39.0,0.0,84.0,111.0,0.0,0.0,105.0,1
128,-119.295082775,36.4520309624,197.0,127,39,6749.0,379.0,56.0,324.0,111.0,296.0,296.0,111.0,339.0,67.0,0.0,85.0,186.0,0.0,0.0,186.0,1
129,-120.964975471,36.0907127394,161.0,121,46,4621.0,306.0,44.0,262.0,99.0,219.0,225.0,97.0,367.0,77.0,1.0,90.0,215.0,3.0,3.0,215.0,1
130,-120.0037961,36.2894660065,185.0,133,42,6023.0,360.0,46.0,313.0,117.0,264.0,271.0,106.0,191.0,39.0,0.0,84.0,111.0,2.0,2.0,105.0,1
131,-120.178154284,36.2316999457,179.0,134,43,5827.0,351.0,42.0,308.0,113.0,255.0,262.0,102.0,202.0,42.0,0.0,88.0,119.0,1.0,2.0,116.0,1
132,-119.532350234,36.3516690736,195.0,130,40,6513.0,375.0,54.0,321.0,121.0,290.0,290.0,111.0,244.0,48.0,0.0,85.0,134.0,0.0,0.0,131.0,1
133,-119.744085864,36.2945861176,192.0,132,41,6310.0,370.0,52.0,318.0,120.0,283.0,283.0,110.0,207.0,40.0,0.0,84.0,115.0,0.0,0.0,110.0,1
134,-119.399322912,36.3622678107,196.0,129,39,6635.0,377.0,55.0,322.0,121.0,293.0,293.0,112.0,278.0,54.0,0.0,85.0,150.0,0.0,0.0,148.0,1
135,-119.155829524,36.3843464814,198.0,126,38,6927.0,381.0,54.0,326.0,110.0,300.0,300.0,110.0,413.0,83.0,1.0,84.0,228.0,3.0,3.0,228.0,1
136,-120.905960641,36.0084844193,162.0,121,46,4683.0,307.0,43.0,264.0,102.0,221.0,227.0,98.0,352.0,74.0,1.0,90.0,207.0,3.0,3.0,205.0,1
137,-119.857786076,36.215614841,189.0,133,42,6175.0,366.0,50.0,316.0,120.0,278.0,279.0,109.0,189.0,38.0,0.0,84.0,108.0,0.0,0.0,102.0,1
138,-120.050542785,36.1592408541,183.0,134,42,5933.0,356.0,44.0,311.0,115.0,261.0,268.0,104.0,189.0,40.0,0.0,88.0,113.0,1.0,2.0,108.0,1
139,-119.568459998,36.2510272225,194.0,130,40,6455.0,374.0,54.0,320.0,122.0,288.0,288.0,111.0,221.0,43.0,0.0,85.0,122.0,0.0,0.0,118.0,1
140,-119.704115398,36.208981564,193.0,132,41,6328.0,371.0,52.0,319.0,121.0,284.0,284.0,111.0,200.0,39.0,0.0,84.0,112.0,0.0,0.0,107.0,1
141,-119.225897309,36.2763705725,198.0,127,39,6792.0,380.0,56.0,325.0,121.0,298.0,298.0,112.0,319.0,63.0,0.0,85.0,175.0,2.0,2.0,174.0,1
142,-119.900118439,36.1087892951,188.0,133,42,6096.0,364.0,49.0,315.0,119.0,269.0,276.0,108.0,181.0,36.0,0.0,85.0,106.0,1.0,2.0,98.0,1
143,-119.084861549,36.2573180654,197.0,126,38,6929.0,380.0,53.0,326.0,126.0,299.0,299.0,109.0,383.0,71.0,0.0,82.0,202.0,2.0,2.0,196.0,1
144,-119.368606954,36.1969001857,197.0,129,40,6638.0,378.0,56.0,323.0,122.0,295.0,295.0,113.0,246.0,48.0,0.0,85.0,136.0,0.0,0.0,131.0,1
145,-120.032324957,36.0506587597,183.0,134,42,5942.0,356.0,44.0,311.0,116.0,261.0,268.0,104.0,187.0,40.0,0.0,88.0,112.0,1.0,2.0,109.0,1
146,-119.500978463,36.1435867199,196.0,131,40,6464.0,375.0,54.0,321.0,123.0,290.0,290.0,112.0,208.0,40.0,0.0,84.0,115.0,0.0,0.0,110.0,1
