pointid,grid_code,POINT_X,POINT_Y
24096,227,-120.187774408,34.6014873309
24097,227,-118.920864255,34.2814377167
24098,227,-119.57301183,34.0430649519
24099,227,-116.233816449,33.7467299041
24130,227,-116.136660264,33.6634468717
24150,227,-116.01791489,33.5781532343
24151,227,-116.140119301,33.5515708726
24293,227,-115.910716726,33.5017291893
24294,227,-116.08451875,33.4630824807
24300,227,-114.59532669,33.679460692
24313,227,-115.694448021,33.4275087499
24328,227,-114.54527295,33.5926309872
24331,227,-114.709213912,33.5570001301
24333,227,-115.943661325,33.3355262839
24343,227,-115.621998334,33.3209540177
24374,227,-114.656305382,33.4723100935
24547,227,-115.848324585,33.2234822738
24717,227,-115.543860364,33.2422571842
25380,227,-115.816533436,33.1364966246
25573,227,-115.648568369,33.1614864084
27372,227,-115.419852051,33.1711519282
32149,227,-115.529724203,33.0898717709
32152,227,-115.709414252,33.0583138093
35842,227,-115.389504257,33.0838781038
44087,227,-115.679488803,32.9712548776
44117,227,-115.56917127,32.9904909179
47409,227,-115.354543607,32.9976636758
53549,227,-115.514156642,32.9077746334
53569,227,-115.732258998,32.8694219405
60101,227,-115.31965911,32.9114272274
74711,227,-115.496493314,32.8185636593
74811,227,-115.690715177,32.7843909727
82877,227,-115.361805511,32.8116566554
99302,227,-115.493053028,32.7268734325
99402,227,-115.604780997,32.7068462473
112534,227,-115.366401961,32.7186010848
128317,227,-114.574971327,32.7423295243
